Suite,Rows,Family,Index,MiB,Median attempt ms,Min–max attempt ms,Median WAL MiB,Attempts,Status
scalar,1000000,btree_tuned,ix_c200,6.719,223.530,216.739–228.278,6.044,3,built
scalar,1000000,btree_tuned,ix_c20k,6.805,201.827,200.345–203.389,6.324,3,built
scalar,1000000,btree_tuned,ix_clustered,6.656,171.250,166.799–183.110,6.042,3,built
scalar,1000000,btree_tuned,ix_composite,6.867,316.851,289.725–319.031,6.212,3,built
scalar,1000000,btree_tuned,ix_covering,107.570,654.645,608.471–680.701,97.171,3,built
scalar,1000000,btree_tuned,ix_nullable,6.719,227.296,220.425–242.590,6.046,3,built
scalar,1000000,btree_tuned,ix_skew,6.656,193.105,188.638–206.919,6.048,3,built
scalar,1000000,gin,ix_c1m,38.195,1324.001,1242.589–1429.081,19.484,3,built
scalar,1000000,gin,ix_c2,1.094,94.509,90.531–101.753,1.107,3,built
scalar,1000000,gin,ix_c20,1.578,108.244,106.774–118.369,1.417,3,built
scalar,1000000,gin,ix_c200,4.703,143.971,139.664–147.281,2.067,3,built
scalar,1000000,gin,ix_c20k,6.734,251.221,241.397–254.854,3.584,3,built
scalar,1000000,gin,ix_clustered,1.578,107.576,103.692–116.761,1.083,3,built
scalar,1000000,gin,ix_nullable,4.836,132.690,125.855–143.408,2.028,3,built
scalar,1000000,gin,ix_skew,1.539,115.999,115.161–119.605,1.302,3,built
scalar,1000000,gist,ix_c1m,19.273,681.489,647.254–699.128,19.378,3,built
scalar,1000000,gist,ix_c2,19.273,645.699,613.575–673.775,19.381,3,built
scalar,1000000,gist,ix_c20,19.273,723.542,692.470–737.262,19.380,3,built
scalar,1000000,gist,ix_c200,19.273,736.698,716.937–746.824,19.381,3,built
scalar,1000000,gist,ix_c20k,19.273,693.214,684.361–719.014,19.382,3,built
scalar,1000000,gist,ix_clustered,19.273,402.432,392.349–407.735,19.382,3,built
scalar,1000000,gist,ix_nullable,20.227,725.826,720.732–753.239,19.387,3,built
scalar,1000000,gist,ix_skew,19.273,649.385,624.976–663.581,19.378,3,built
scalar,1000000,hash,ix_c1m,31.992,1134.230,1131.644–1136.623,69.300,3,built
scalar,1000000,hash,ix_c2,—,60009.319,60009.319–60009.319,62.831,1,FAILED / omitted
scalar,1000000,hash,ix_c20,47.141,11007.265,10632.956–11121.125,69.450,3,built
scalar,1000000,hash,ix_c200,46.688,2194.799,2081.336–2208.324,69.446,3,built
scalar,1000000,hash,ix_c20k,32.945,1064.009,1059.542–1144.112,69.312,3,built
scalar,1000000,hash,ix_clustered,46.766,1338.528,1327.333–1398.575,69.445,3,built
scalar,1000000,hash,ix_nullable,44.680,1876.150,1874.099–1916.755,62.541,3,built
scalar,1000000,hash,ix_skew,—,59371.844,59371.844–59371.844,49.399,1,FAILED / omitted
scalar,1000000,roaring,ix_c1m,47.703,2538.423,2458.940–2566.276,75.843,3,built
scalar,1000000,roaring,ix_c2,2.867,509.850,488.269–550.520,2.025,3,built
scalar,1000000,roaring,ix_c20,2.664,676.939,644.467–685.843,2.107,3,built
scalar,1000000,roaring,ix_c200,4.188,700.939,657.394–726.918,2.919,3,built
scalar,1000000,roaring,ix_c20k,8.492,691.514,689.394–692.189,8.087,3,built
scalar,1000000,roaring,ix_clustered,1.062,339.506,335.044–339.579,0.184,3,built
scalar,1000000,roaring,ix_nullable,4.406,717.772,703.334–725.216,2.927,3,built
scalar,1000000,roaring,ix_skew,1.328,565.652,559.990–565.939,1.177,3,built
scalar,5000000,brin,ix_c1m,0.094,269.345,265.756–272.320,0.403,3,built
scalar,5000000,brin,ix_c2,0.094,272.544,249.358–276.943,0.406,3,built
scalar,5000000,brin,ix_c20,0.094,258.895,257.708–259.941,0.401,3,built
scalar,5000000,brin,ix_c200,0.094,264.089,257.689–265.208,0.402,3,built
scalar,5000000,brin,ix_c20k,0.094,268.217,265.054–271.004,0.403,3,built
scalar,5000000,brin,ix_clustered,0.094,269.149,266.953–276.040,0.404,3,built
scalar,5000000,brin,ix_nullable,0.094,273.846,269.587–280.163,0.405,3,built
scalar,5000000,brin,ix_skew,0.094,271.593,267.655–272.464,0.404,3,built
scalar,5000000,btree,ix_c1m,56.258,1171.972,1125.548–1190.369,51.030,3,built
scalar,5000000,btree,ix_c2,33.062,1066.342,1012.519–1078.123,29.933,3,built
scalar,5000000,btree,ix_c20,33.070,1268.218,1238.580–1281.172,29.931,3,built
scalar,5000000,btree,ix_c200,33.148,1238.124,1231.743–1258.740,29.935,3,built
scalar,5000000,btree,ix_c20k,34.383,1114.367,1049.449–1130.644,30.084,3,built
scalar,5000000,btree,ix_clustered,33.172,846.243,799.156–853.131,29.937,3,built
scalar,5000000,btree,ix_nullable,33.148,1250.933,1190.000–1291.809,29.934,3,built
scalar,5000000,btree,ix_skew,33.219,953.645,938.091–968.579,29.944,3,built
scalar,5000000,btree_tuned,ix_c1m,56.258,1094.422,1083.924–1135.695,51.033,3,built
scalar,5000000,btree_tuned,ix_c2,33.062,1011.988,990.602–1072.864,29.935,3,built
scalar,5000000,btree_tuned,ix_c20,33.070,1212.955,1206.581–1230.019,29.934,3,built
scalar,5000000,btree_tuned,ix_c200,33.148,1168.342,1156.146–1218.152,29.937,3,built
scalar,5000000,btree_tuned,ix_c20k,34.383,1071.276,1046.275–1108.705,30.086,3,built
scalar,5000000,btree_tuned,ix_clustered,33.172,844.014,841.625–844.615,29.935,3,built
scalar,5000000,btree_tuned,ix_composite,34.977,1634.450,1632.763–1659.838,30.538,3,built
scalar,5000000,btree_tuned,ix_covering,537.781,3310.429,3267.912–3538.841,485.563,3,built
scalar,5000000,btree_tuned,ix_nullable,33.148,1190.600,1183.219–1201.539,29.936,3,built
scalar,5000000,btree_tuned,ix_skew,33.219,936.530,924.701–955.152,29.941,3,built
scalar,5000000,gin,ix_c1m,87.367,3742.658,3721.064–3763.478,44.596,3,built
scalar,5000000,gin,ix_c2,5.297,437.519,428.890–448.119,5.224,3,built
scalar,5000000,gin,ix_c20,7.047,517.727,508.069–524.772,6.800,3,built
scalar,5000000,gin,ix_c200,12.516,608.978,603.784–612.038,10.006,3,built
scalar,5000000,gin,ix_c20k,26.281,1059.908,1043.522–1083.303,15.406,3,built
scalar,5000000,gin,ix_clustered,7.828,536.879,514.517–543.024,5.141,3,built
scalar,5000000,gin,ix_nullable,11.562,613.202,585.943–637.615,9.772,3,built
scalar,5000000,gin,ix_skew,6.883,564.983,544.673–571.675,6.091,3,built
scalar,5000000,gist,ix_c1m,96.242,4088.041,4045.048–4102.650,96.598,3,built
scalar,5000000,gist,ix_c2,96.242,3373.072,3297.564–3487.593,96.596,3,built
scalar,5000000,gist,ix_c20,96.242,4155.000,4140.634–4180.492,96.596,3,built
scalar,5000000,gist,ix_c200,96.242,4224.763,4180.625–4260.325,96.597,3,built
scalar,5000000,gist,ix_c20k,96.242,4202.597,4195.452–4230.396,96.597,3,built
scalar,5000000,gist,ix_clustered,96.242,2032.460,2023.156–2034.350,96.594,3,built
scalar,5000000,gist,ix_nullable,101.039,4110.709,4066.684–4144.833,96.640,3,built
scalar,5000000,gist,ix_skew,96.242,3233.514,3224.969–3258.842,96.595,3,built
scalar,5000000,hash,ix_c1m,129.484,6271.624,6050.305–6403.480,345.922,3,built
scalar,5000000,hash,ix_c2,—,57988.639,57988.639–57988.639,55.493,1,FAILED / omitted
scalar,5000000,hash,ix_c20,—,59987.549,59987.549–59987.549,137.527,1,FAILED / omitted
scalar,5000000,hash,ix_c200,223.242,46240.380,46134.940–48986.700,346.843,3,built
scalar,5000000,hash,ix_c20k,177.898,6101.111,6049.075–6146.038,346.399,3,built
scalar,5000000,hash,ix_clustered,223.328,17057.807,17055.638–17080.793,346.842,3,built
scalar,5000000,hash,ix_nullable,213.641,40848.509,40512.786–41610.935,312.390,3,built
scalar,5000000,hash,ix_skew,—,60024.864,60024.864–60024.864,44.367,1,FAILED / omitted
scalar,5000000,roaring,ix_c1m,115.930,6454.062,6448.233–6690.801,139.216,3,built
scalar,5000000,roaring,ix_c2,12.242,2512.556,2496.572–2651.673,9.804,3,built
scalar,5000000,roaring,ix_c20,10.820,4012.907,3954.824–4056.822,10.194,3,built
scalar,5000000,roaring,ix_c200,15.164,4043.127,3921.983–4139.541,14.144,3,built
scalar,5000000,roaring,ix_c20k,37.023,3744.667,3551.139–3755.720,31.270,3,built
scalar,5000000,roaring,ix_clustered,1.109,1655.771,1617.014–1678.861,0.499,3,built
scalar,5000000,roaring,ix_nullable,16.156,4326.873,4218.052–4433.542,14.179,3,built
scalar,5000000,roaring,ix_skew,6.578,3184.280,3070.871–3219.954,5.150,3,built
